Elements: 2002    Rows: 96      Columns: 96
Row: 15    Column: 44      -3.22937334656
Row: 44    Column: 14      -2.82031938933
Row: 14    Column: 44      -2.82031938933
Row: 44    Column: 4      -0.215291556438
Row: 4    Column: 44      -0.215291556438
Row: 44    Column: 6      -0.14209242725
Row: 6    Column: 44      -0.14209242725
Row: 44    Column: 42      2.0667989418
Row: 42    Column: 44      2.0667989418
Row: 44    Column: 43      -3.83218970459
Row: 43    Column: 44      -3.83218970459
Row: 44    Column: 44      14.9842923281
Row: 13    Column: 3      -0.0408192791006
Row: 3    Column: 13      -0.0408192791006
Row: 13    Column: 17      0.340160659172
Row: 17    Column: 13      0.340160659172
Row: 13    Column: 16      -0.824566661157
Row: 16    Column: 13      -0.824566661157
Row: 13    Column: 15      1.34557222774
Row: 15    Column: 13      1.34557222774
Row: 13    Column: 14      -2.84830729167
Row: 14    Column: 13      -2.84830729167
Row: 13    Column: 4      -0.648027584877
Row: 4    Column: 13      -0.648027584877
Row: 13    Column: 6      1.40104182596e-13
Row: 6    Column: 13      1.40104182596e-13
Row: 13    Column: 42      -0.142092427249
Row: 42    Column: 13      -0.142092427249
Row: 13    Column: 43      0.210985725309
Row: 43    Column: 13      0.210985725309
Row: 13    Column: 44      0.503782242065
Row: 44    Column: 13      0.503782242065
Row: 13    Column: 13      4.55126350309
Row: 7    Column: 3      0.594204695766
Row: 3    Column: 7      0.594204695766
Row: 7    Column: 17      1.68142705577
Row: 17    Column: 7      1.68142705577
Row: 7    Column: 16      0.370301477075
Row: 16    Column: 7      0.370301477075
Row: 7    Column: 15      -0.236820712082
Row: 15    Column: 7      -0.236820712082
Row: 7    Column: 14      0.17223324515
Row: 14    Column: 7      0.17223324515
Row: 7    Column: 4      -0.0379774305556
Row: 4    Column: 7      -0.0379774305556
Row: 7    Column: 6      -3.96351755401
Row: 6    Column: 7      -3.96351755401
Row: 7    Column: 42      -4.57279265873
Row: 42    Column: 7      -4.57279265873
Row: 7    Column: 43      0.693238811729
Row: 43    Column: 7      0.693238811729
Row: 7    Column: 44      -0.482253086419
Row: 44    Column: 7      -0.482253086419
Row: 7    Column: 13      0.0710462136243
Row: 13    Column: 7      0.0710462136243
Row: 7    Column: 7      8.11218584656
Row: 45    Column: 3      -0.0538228891096
Row: 3    Column: 45      -0.0538228891096
Row: 45    Column: 17      1.35633680555
Row: 17    Column: 45      1.35633680555
Row: 45    Column: 16      1.39939511685
Row: 16    Column: 45      1.39939511685
Row: 45    Column: 15      1.07645778219
Row: 15    Column: 45      1.07645778219
Row: 45    Column: 14      -0.419818535052
Row: 14    Column: 45      -0.419818535052
Row: 45    Column: 4      0.107645778218
Row: 4    Column: 45      0.107645778218
Row: 45    Column: 6      0.0495170579817
Row: 6    Column: 45      0.0495170579817
Row: 45    Column: 42      -8.35331238977
Row: 42    Column: 45      -8.35331238977
Row: 45    Column: 43      -6.26498429233
Row: 43    Column: 45      -6.26498429233
Row: 45    Column: 44      1.33480764991
Row: 44    Column: 45      1.33480764991
Row: 45    Column: 13      -0.273420276675
Row: 13    Column: 45      -0.273420276675
Row: 45    Column: 7      1.01617614638
Row: 7    Column: 45      1.01617614638
Row: 45    Column: 45      18.6011904762
Row: 46    Column: 3      0.107645778219
Row: 3    Column: 46      0.107645778219
Row: 46    Column: 17      -0.419818535053
Row: 17    Column: 46      -0.419818535053
Row: 46    Column: 16      1.07645778219
Row: 16    Column: 46      1.07645778219
Row: 46    Column: 15      1.39939511685
Row: 15    Column: 46      1.39939511685
Row: 46    Column: 14      1.35633680556
Row: 14    Column: 46      1.35633680556
Row: 46    Column: 4      -0.0538228891089
Row: 4    Column: 46      -0.0538228891089
Row: 46    Column: 6      -0.273420276675
Row: 6    Column: 46      -0.273420276675
Row: 46    Column: 42      1.33480764991
Row: 42    Column: 46      1.33480764991
Row: 46    Column: 43      -6.26498429234
Row: 43    Column: 46      -6.26498429234
Row: 46    Column: 44      -8.35331238978
Row: 44    Column: 46      -8.35331238978
Row: 46    Column: 13      0.0495170579782
Row: 13    Column: 46      0.0495170579782
Row: 46    Column: 7      0.370301477071
